id_equipamento,chuva_acumulada_mm,umidade_solo_pct,inclinacao_graus,peso_maquina_ton,distancia_corpo_agua_m,ocorreu_acidente
COLHEITADEIRA-I,116.64,88.97,21.02,10.14,109.28,1
TRATOR-I,73.02,60.79,5.82,11.13,794.38,0
COLHEITADEIRA-I,41.94,39.05,13.29,13.76,98.97,0
COLHEITADEIRA-I,13.69,25.91,21.6,20.04,271.38,0
PULVERIZADOR-I,18.15,31.55,33.94,23.32,855.11,0
COLHEITADEIRA-II,27.04,46.44,25.47,16.9,346.47,0
TRATOR-II,30.12,29.95,32.29,19.1,973.05,0
COLHEITADEIRA-II,102.07,77.56,26.68,12.83,979.73,1
COLHEITADEIRA-II,67.35,74.68,20.71,22.07,268.28,1
COLHEITADEIRA-I,62.81,52.09,6.72,24.51,40.98,0
COLHEITADEIRA-II,13.77,28.54,23.33,14.03,705.06,0
TRATOR-I,103.22,97.87,21.82,17.42,450.99,1
COLHEITADEIRA-I,86.74,66.69,21.09,11.29,100.75,0
TRATOR-I,8.12,17.35,17.14,18.39,707.52,0
TRATOR-II,84.94,75.5,18.5,17.54,31.17,1
COLHEITADEIRA-I,65.22,58.21,11.71,12.17,870.2,0
TRATOR-II,9.81,32.79,18.18,16.63,138.65,0
COLHEITADEIRA-I,55.0,67.11,6.91,15.01,127.31,0
PULVERIZADOR-I,58.16,49.01,28.18,17.83,175.67,1
COLHEITADEIRA-II,19.89,39.36,6.5,18.78,960.27,0
PULVERIZADOR-I,113.48,93.26,2.97,10.13,693.17,0
TRATOR-II,102.0,75.52,15.27,21.42,801.37,1
COLHEITADEIRA-II,80.28,76.89,23.04,20.7,397.63,1
COLHEITADEIRA-I,55.48,51.49,15.32,15.49,336.31,0
COLHEITADEIRA-II,49.41,54.28,9.69,10.79,234.48,0
TRATOR-I,78.12,59.34,19.54,21.32,480.65,0
COLHEITADEIRA-II,65.45,63.06,12.15,24.33,551.83,0
TRATOR-I,7.47,23.68,32.65,13.6,631.77,0
COLHEITADEIRA-II,61.5,71.57,32.29,14.85,257.12,1
TRATOR-I,96.77,69.77,17.58,12.76,948.65,0
TRATOR-II,55.11,55.62,11.48,18.65,169.76,0
PULVERIZADOR-I,6.23,27.49,25.8,12.32,965.65,0
COLHEITADEIRA-I,94.35,88.36,1.28,15.34,14.86,1
COLHEITADEIRA-II,24.16,41.73,16.62,20.46,481.13,0
PULVERIZADOR-I,31.03,48.64,11.77,18.4,333.37,0
COLHEITADEIRA-I,19.76,45.17,32.22,15.8,449.12,1
COLHEITADEIRA-I,39.63,59.64,0.42,16.3,570.66,0
TRATOR-I,90.81,73.9,19.35,18.43,435.59,0
TRATOR-II,62.33,63.54,25.92,10.09,414.85,0
TRATOR-II,24.59,49.95,16.98,11.18,732.72,0
PULVERIZADOR-I,105.34,100.0,2.99,23.22,685.88,0
TRATOR-II,105.55,100.0,34.04,11.17,833.27,1
COLHEITADEIRA-II,104.47,83.83,18.13,20.6,249.96,0
TRATOR-II,28.66,33.05,21.5,23.8,609.53,0
PULVERIZADOR-I,54.15,57.17,8.28,14.06,585.19,0
TRATOR-II,118.2,100.0,16.92,15.56,369.74,1
COLHEITADEIRA-II,92.64,80.36,15.02,18.53,486.06,0
TRATOR-I,3.26,26.45,2.62,23.23,313.78,0
PULVERIZADOR-I,7.82,39.84,3.72,24.13,141.84,0
TRATOR-I,55.67,54.25,29.31,21.09,213.8,1
TRATOR-I,109.11,100.0,8.39,11.3,105.51,0
TRATOR-I,64.64,60.99,6.82,20.04,683.07,0
COLHEITADEIRA-I,59.74,55.69,17.67,16.15,660.73,0
COLHEITADEIRA-I,12.66,31.21,26.91,17.06,950.61,0
TRATOR-I,78.81,80.16,2.17,10.74,729.68,0
PULVERIZADOR-I,98.65,72.97,20.19,12.87,52.05,1
COLHEITADEIRA-II,45.65,43.28,4.17,21.86,884.25,0
COLHEITADEIRA-II,93.07,94.39,1.28,16.81,862.68,0
TRATOR-II,115.74,84.71,1.85,14.52,443.32,0
PULVERIZADOR-I,24.45,41.7,29.2,15.76,585.86,0
COLHEITADEIRA-I,62.8,65.06,4.13,22.82,976.08,0
TRATOR-I,34.46,45.36,1.58,21.23,532.3,0
TRATOR-II,95.14,86.43,15.33,14.08,905.32,0
COLHEITADEIRA-II,69.31,58.48,29.54,11.76,83.04,1
COLHEITADEIRA-I,76.15,72.27,9.18,13.78,191.05,1
COLHEITADEIRA-I,95.75,78.62,14.76,23.81,440.75,0
TRATOR-I,47.52,58.36,1.4,18.72,584.76,0
COLHEITADEIRA-II,109.81,80.12,15.72,18.0,816.23,0
PULVERIZADOR-I,63.96,65.5,20.22,18.95,988.26,0
COLHEITADEIRA-I,18.95,26.93,19.98,15.49,388.85,0
TRATOR-I,83.51,68.46,11.63,22.11,47.42,1
PULVERIZADOR-I,95.19,73.68,11.04,17.85,801.17,0
COLHEITADEIRA-II,38.01,38.29,3.73,11.75,604.38,0
COLHEITADEIRA-I,102.86,96.49,12.84,11.94,198.54,0
PULVERIZADOR-I,108.74,83.81,3.48,18.05,494.83,0
PULVERIZADOR-I,33.23,57.75,26.83,24.05,742.31,1
PULVERIZADOR-I,118.02,100.0,33.82,14.63,770.41,1
COLHEITADEIRA-I,16.89,37.27,33.95,23.04,499.62,0
COLHEITADEIRA-I,24.24,28.84,30.28,21.46,305.21,1
TRATOR-II,22.11,34.5,21.03,13.72,973.74,0
COLHEITADEIRA-II,107.28,98.3,24.53,10.55,663.36,1
TRATOR-I,78.52,68.13,9.98,11.53,408.24,0
PULVERIZADOR-I,18.25,23.56,22.08,20.93,280.46,0
TRATOR-II,52.84,58.41,15.95,13.0,731.1,0
TRATOR-I,73.84,79.66,16.87,15.57,242.18,1
TRATOR-II,10.02,39.89,26.52,17.53,171.71,1
COLHEITADEIRA-I,105.89,78.79,9.87,20.88,529.83,0
PULVERIZADOR-I,96.43,88.04,11.13,11.7,289.99,0
TRATOR-I,60.62,52.99,32.36,16.1,628.91,1
TRATOR-I,116.06,86.18,1.97,17.28,117.94,0
TRATOR-I,50.13,66.3,17.0,18.11,654.94,0
TRATOR-I,118.09,88.35,31.95,22.28,283.3,1
TRATOR-I,80.15,65.99,21.36,12.58,0.24,1
TRATOR-II,76.16,55.72,19.12,22.12,126.94,1
PULVERIZADOR-I,19.91,48.07,8.74,20.39,933.62,0
COLHEITADEIRA-I,105.83,97.28,12.01,18.34,867.35,0
COLHEITADEIRA-I,51.3,59.6,29.82,20.49,233.61,1
COLHEITADEIRA-I,19.47,44.19,19.57,16.18,778.37,0
COLHEITADEIRA-I,1.51,15.47,18.02,12.08,608.57,0
TRATOR-II,67.17,64.05,3.49,19.99,970.9,0
COLHEITADEIRA-II,63.29,58.51,0.56,17.87,373.61,0
PULVERIZADOR-I,86.32,64.61,33.73,19.59,681.46,1
TRATOR-I,106.83,88.68,13.19,15.07,63.54,0
COLHEITADEIRA-II,9.53,43.34,21.11,23.6,396.25,0
COLHEITADEIRA-I,87.78,63.87,2.79,18.81,963.82,0
COLHEITADEIRA-II,22.49,32.24,23.91,11.28,538.98,0
PULVERIZADOR-I,102.98,78.01,32.64,16.75,287.88,1
TRATOR-I,98.29,76.12,20.15,21.35,120.27,1
TRATOR-I,64.9,76.19,4.41,21.91,703.53,0
PULVERIZADOR-I,85.23,75.18,20.36,17.42,644.86,0
PULVERIZADOR-I,37.72,46.62,26.82,23.42,373.94,1
COLHEITADEIRA-I,56.54,66.74,14.22,14.02,950.94,0
TRATOR-I,98.6,73.79,30.79,16.16,22.2,1
COLHEITADEIRA-II,55.11,57.69,22.7,23.48,303.72,1
TRATOR-II,42.94,48.66,31.47,23.44,921.07,0
TRATOR-II,59.31,63.49,21.82,20.29,320.94,0
PULVERIZADOR-I,99.39,99.62,4.6,22.88,252.25,0
COLHEITADEIRA-I,40.22,57.22,10.84,11.33,534.22,0
TRATOR-II,20.85,34.45,7.06,22.97,823.8,0
TRATOR-I,85.44,86.09,31.81,14.81,103.15,1
PULVERIZADOR-I,99.12,74.59,26.61,12.67,943.02,0
COLHEITADEIRA-II,12.08,18.16,23.67,13.59,795.07,0
PULVERIZADOR-I,28.78,33.4,10.53,16.27,181.25,0
COLHEITADEIRA-II,17.04,30.43,6.44,13.77,712.01,0
PULVERIZADOR-I,41.75,50.37,26.48,14.81,384.96,0
PULVERIZADOR-I,54.04,60.88,16.6,12.02,402.29,0
PULVERIZADOR-I,89.86,91.23,7.9,14.44,783.29,0
COLHEITADEIRA-II,78.14,72.18,21.58,18.58,962.78,0
COLHEITADEIRA-II,74.51,69.75,1.41,16.63,126.66,0
PULVERIZADOR-I,42.28,36.88,11.42,15.2,420.63,0
TRATOR-II,100.97,71.63,16.4,21.2,480.94,0
COLHEITADEIRA-I,56.55,60.47,5.18,23.4,376.31,0
COLHEITADEIRA-I,117.49,93.64,34.46,21.35,363.19,1
COLHEITADEIRA-I,76.1,80.83,7.32,14.98,52.27,0
COLHEITADEIRA-II,15.15,23.91,4.56,21.17,685.54,0
COLHEITADEIRA-II,81.14,59.43,7.12,12.28,436.21,0
TRATOR-II,39.01,46.88,26.92,11.95,194.79,1
COLHEITADEIRA-I,82.36,66.54,14.89,15.18,816.03,0
COLHEITADEIRA-I,8.36,16.5,19.79,22.12,802.56,0
PULVERIZADOR-I,20.99,44.33,0.74,13.7,486.39,0
COLHEITADEIRA-II,102.69,74.96,1.21,10.95,298.45,0
COLHEITADEIRA-I,27.26,44.61,15.6,11.98,638.09,0
TRATOR-II,100.44,78.7,28.58,22.88,288.15,1
TRATOR-II,33.51,35.31,30.98,19.51,236.01,1
COLHEITADEIRA-I,77.15,67.68,3.03,13.8,730.51,0
COLHEITADEIRA-II,83.3,84.02,18.84,18.33,40.33,1
TRATOR-II,61.52,58.67,31.96,17.91,94.77,1
PULVERIZADOR-I,36.64,54.51,13.58,19.83,6.79,1
TRATOR-II,25.52,29.07,29.03,13.5,152.94,0
TRATOR-I,3.98,35.57,4.68,22.97,68.99,0
TRATOR-I,36.47,38.99,32.74,14.64,995.8,0
COLHEITADEIRA-II,78.38,77.35,26.3,20.41,288.81,1
COLHEITADEIRA-I,112.6,94.53,32.95,10.24,149.27,1
COLHEITADEIRA-II,104.54,100.0,23.68,15.59,241.0,1
COLHEITADEIRA-II,91.93,76.78,12.72,15.28,936.13,0
COLHEITADEIRA-II,94.61,68.75,32.84,18.15,520.16,1
COLHEITADEIRA-II,79.8,58.45,9.64,11.09,364.82,0
PULVERIZADOR-I,31.23,53.55,11.63,21.85,873.39,0
PULVERIZADOR-I,108.86,91.06,24.53,13.27,394.99,1
TRATOR-II,80.49,81.55,26.79,20.16,335.01,1
TRATOR-I,67.25,57.38,32.53,22.05,207.28,1
COLHEITADEIRA-II,13.32,28.34,7.17,18.43,377.8,0
TRATOR-II,53.65,43.09,27.93,21.11,316.68,1
TRATOR-I,55.24,71.99,25.85,19.93,677.3,0
COLHEITADEIRA-I,103.75,92.28,2.23,15.33,289.58,0
PULVERIZADOR-I,65.6,77.35,13.55,22.13,577.2,1
TRATOR-I,45.65,45.35,9.9,14.42,65.89,0
COLHEITADEIRA-I,117.22,98.67,10.66,18.57,191.29,1
TRATOR-I,13.29,38.33,34.4,21.18,407.41,1
PULVERIZADOR-I,50.71,49.95,22.5,15.68,936.95,0
PULVERIZADOR-I,5.04,38.47,25.12,14.54,377.25,0
TRATOR-II,88.79,91.69,34.18,16.89,664.07,1
COLHEITADEIRA-II,110.17,100.0,13.2,22.27,255.09,0
TRATOR-I,33.6,52.33,28.06,23.95,127.03,0
TRATOR-I,103.0,80.12,15.21,18.18,58.54,1
COLHEITADEIRA-I,35.07,39.49,30.43,19.92,305.41,1
PULVERIZADOR-I,109.29,100.0,6.32,23.55,157.66,1
TRATOR-I,90.48,64.59,33.17,11.48,174.01,1
PULVERIZADOR-I,96.59,89.43,7.66,13.48,760.76,0
TRATOR-I,2.16,32.48,11.42,20.63,15.84,0
TRATOR-II,115.54,98.0,26.47,22.36,557.81,1
COLHEITADEIRA-II,87.2,92.02,13.78,22.86,379.46,1
TRATOR-I,36.57,41.3,21.29,16.23,506.55,0
PULVERIZADOR-I,99.53,79.92,15.56,11.34,562.83,0
TRATOR-II,33.78,32.64,25.98,16.57,313.37,0
TRATOR-I,104.73,86.12,7.99,13.46,295.11,0
COLHEITADEIRA-I,13.51,25.94,2.05,14.37,733.4,0
COLHEITADEIRA-II,84.44,70.97,10.5,21.58,871.28,1
TRATOR-I,64.88,73.97,16.6,11.13,192.58,0
TRATOR-II,11.58,45.02,5.88,22.41,97.62,1
COLHEITADEIRA-I,29.03,32.99,12.42,16.42,897.8,0
TRATOR-II,1.49,22.07,14.0,18.94,349.9,0
TRATOR-II,56.25,71.61,2.01,11.34,551.32,0
COLHEITADEIRA-I,36.15,33.55,20.42,15.06,359.54,0
TRATOR-II,71.8,55.85,30.95,11.35,125.8,1
COLHEITADEIRA-I,35.67,36.28,5.31,24.42,589.33,0
TRATOR-I,35.99,49.45,20.92,22.11,525.14,0
COLHEITADEIRA-I,89.18,68.02,23.27,16.89,202.99,1
COLHEITADEIRA-I,5.78,42.51,14.68,13.35,451.87,0
COLHEITADEIRA-II,108.35,88.41,24.54,24.0,796.95,1
COLHEITADEIRA-I,102.27,86.41,14.38,15.17,590.43,0
COLHEITADEIRA-I,80.14,65.48,17.66,12.41,96.92,1
TRATOR-I,71.19,66.84,0.26,18.45,548.02,0
COLHEITADEIRA-II,107.08,94.1,24.21,24.16,702.74,1
PULVERIZADOR-I,22.24,45.88,23.15,10.06,792.7,0
TRATOR-I,9.48,38.3,1.34,13.57,629.12,0
TRATOR-I,28.74,44.58,12.89,24.08,152.66,0
PULVERIZADOR-I,95.35,94.34,34.27,12.57,710.17,1
COLHEITADEIRA-I,4.16,37.02,14.73,11.7,677.34,0
TRATOR-II,69.94,74.67,17.57,18.55,24.43,1
COLHEITADEIRA-II,119.45,83.34,31.85,22.93,411.75,1
TRATOR-II,102.68,71.82,25.1,17.16,332.95,1
PULVERIZADOR-I,62.57,53.92,20.37,24.92,669.41,0
TRATOR-I,7.64,34.49,27.92,20.19,216.14,0
TRATOR-I,99.76,82.19,30.25,11.11,590.87,1
COLHEITADEIRA-II,71.88,65.2,15.99,24.89,913.21,0
TRATOR-I,13.79,44.81,16.63,16.12,797.8,0
TRATOR-I,11.26,43.62,13.51,14.31,921.46,0
COLHEITADEIRA-II,109.16,100.0,33.83,18.37,978.51,1
COLHEITADEIRA-II,80.3,67.6,24.4,14.56,10.67,1
PULVERIZADOR-I,99.51,90.44,2.91,11.3,622.74,0
TRATOR-I,105.48,81.44,30.2,10.02,412.84,1
TRATOR-I,68.61,56.89,16.82,16.74,859.85,0
PULVERIZADOR-I,62.09,52.8,2.41,22.55,251.81,0
COLHEITADEIRA-I,51.65,51.25,19.24,18.58,981.03,0
COLHEITADEIRA-I,38.03,45.72,14.6,24.99,613.71,0
COLHEITADEIRA-I,52.15,66.22,30.72,14.3,793.54,1
PULVERIZADOR-I,92.87,69.32,7.14,14.21,85.6,0
TRATOR-I,72.23,75.39,28.93,12.4,183.46,1
PULVERIZADOR-I,107.1,90.21,19.52,12.46,758.4,0
PULVERIZADOR-I,53.21,50.56,1.91,14.28,21.99,0
COLHEITADEIRA-I,72.85,68.5,34.01,21.89,816.88,1
TRATOR-II,75.76,64.45,17.94,23.59,13.95,1
TRATOR-I,71.0,70.48,10.18,24.63,657.12,0
COLHEITADEIRA-I,84.32,73.6,16.43,13.48,365.09,0
TRATOR-II,28.49,32.03,30.03,23.22,611.49,1
TRATOR-II,61.48,50.39,10.67,14.92,696.03,0
COLHEITADEIRA-II,12.51,33.91,6.74,11.69,342.48,0
TRATOR-I,46.14,64.76,4.52,23.05,107.96,0
TRATOR-II,58.52,55.43,10.43,19.54,69.65,0
COLHEITADEIRA-I,78.27,78.95,27.3,12.47,588.94,1
COLHEITADEIRA-II,114.06,98.2,16.51,16.45,520.66,0
TRATOR-I,72.08,81.19,7.96,14.31,742.2,0
PULVERIZADOR-I,89.23,88.17,5.82,21.05,509.74,0
COLHEITADEIRA-I,60.75,63.45,11.65,16.8,422.45,0
TRATOR-II,76.09,75.37,32.9,24.84,398.09,1
TRATOR-II,8.51,42.06,12.01,10.82,26.45,1
COLHEITADEIRA-I,30.53,40.3,34.58,15.33,335.56,1
TRATOR-II,43.42,45.86,16.98,17.23,976.02,0
COLHEITADEIRA-II,56.7,44.34,6.27,17.55,873.56,0
TRATOR-I,5.48,38.08,31.19,14.74,329.38,1
COLHEITADEIRA-II,16.8,44.11,16.11,20.94,587.8,0
TRATOR-II,33.22,33.06,24.84,23.12,847.3,1
PULVERIZADOR-I,116.58,97.26,34.43,24.08,441.27,1
TRATOR-I,39.76,47.78,1.76,22.08,17.96,0
TRATOR-I,57.84,48.27,3.38,22.76,74.51,0
COLHEITADEIRA-I,23.53,53.54,25.22,18.26,510.39,0
COLHEITADEIRA-I,73.29,60.42,9.86,22.39,969.44,0
PULVERIZADOR-I,33.68,32.23,6.45,14.55,693.21,0
TRATOR-I,24.84,42.75,1.38,15.98,70.92,0
PULVERIZADOR-I,61.99,69.36,0.76,14.75,189.36,0
COLHEITADEIRA-I,0.66,11.37,27.11,17.01,771.32,0
COLHEITADEIRA-I,0.92,30.31,4.71,14.28,841.44,0
TRATOR-I,26.29,41.74,16.37,24.42,617.69,0
COLHEITADEIRA-II,4.41,15.74,21.21,14.69,644.42,0
TRATOR-II,12.96,22.95,14.99,11.47,28.34,0
COLHEITADEIRA-I,40.66,51.44,0.95,17.9,828.53,0
COLHEITADEIRA-I,96.31,76.68,27.42,10.86,788.28,1
COLHEITADEIRA-II,68.65,79.34,0.37,11.66,259.04,0
COLHEITADEIRA-II,61.52,71.47,26.67,13.29,708.68,1
PULVERIZADOR-I,35.22,60.64,31.27,16.97,214.85,1
PULVERIZADOR-I,111.81,84.88,15.15,16.5,40.33,1
TRATOR-II,47.64,67.68,18.74,22.0,201.14,1
TRATOR-II,10.45,29.21,16.69,21.09,178.63,0
TRATOR-I,74.05,64.85,13.62,16.39,337.75,0
PULVERIZADOR-I,13.66,19.71,31.06,15.01,418.45,0
COLHEITADEIRA-I,41.43,36.44,31.29,14.75,508.54,1
PULVERIZADOR-I,60.89,67.29,11.75,21.61,476.75,0
COLHEITADEIRA-I,104.91,86.68,21.53,10.78,270.67,1
COLHEITADEIRA-II,59.23,52.33,32.44,10.19,29.17,1
PULVERIZADOR-I,84.27,78.98,33.67,21.93,605.1,1
COLHEITADEIRA-II,119.14,89.07,17.81,17.16,395.74,1
TRATOR-II,15.78,36.8,15.85,11.96,298.67,0
TRATOR-II,32.97,40.56,9.75,13.53,866.94,0
TRATOR-I,47.35,63.12,33.56,23.99,746.74,1
PULVERIZADOR-I,50.62,64.99,5.0,22.89,857.77,0
COLHEITADEIRA-II,49.32,53.91,20.29,20.65,494.98,0
COLHEITADEIRA-I,108.91,85.87,9.89,17.23,130.93,0
TRATOR-II,85.68,72.29,9.77,17.8,696.22,0
TRATOR-II,72.95,77.94,14.17,24.63,206.07,0
COLHEITADEIRA-I,37.12,42.12,34.96,24.49,441.23,1
COLHEITADEIRA-II,98.85,75.58,1.92,13.23,65.0,0
COLHEITADEIRA-II,114.61,81.31,20.25,22.17,825.31,1
PULVERIZADOR-I,98.54,83.13,2.89,12.96,125.94,0
PULVERIZADOR-I,0.19,24.58,5.41,13.2,903.1,0
TRATOR-I,76.37,81.05,15.38,20.14,864.23,0
TRATOR-II,6.14,20.32,17.87,16.08,464.58,0
PULVERIZADOR-I,30.91,39.98,9.06,23.97,744.37,0
COLHEITADEIRA-II,7.14,38.54,11.08,11.34,619.45,0
COLHEITADEIRA-I,72.46,78.18,3.04,17.67,803.08,0
COLHEITADEIRA-II,82.39,70.97,10.61,23.78,431.81,0
TRATOR-II,13.74,32.02,33.83,23.56,785.81,1
COLHEITADEIRA-II,46.06,46.73,33.06,12.35,462.46,1
TRATOR-I,54.75,70.83,11.72,15.5,940.97,0
TRATOR-II,44.29,40.13,19.98,19.29,486.37,0
COLHEITADEIRA-I,14.52,46.73,31.84,12.39,462.62,1
TRATOR-I,50.27,60.68,0.22,24.52,785.07,0
TRATOR-II,90.14,80.03,28.37,23.72,821.58,1
COLHEITADEIRA-I,8.52,16.09,33.19,12.5,554.49,0
TRATOR-I,9.62,30.04,3.2,11.82,179.8,0
TRATOR-I,42.57,47.78,5.65,11.28,467.76,0
TRATOR-II,113.01,82.64,33.63,23.64,968.07,1
PULVERIZADOR-I,80.23,77.83,18.81,12.9,752.99,0
TRATOR-I,81.44,88.0,0.5,16.24,811.16,0
TRATOR-I,43.43,52.92,9.02,16.73,32.83,1
COLHEITADEIRA-I,71.24,74.19,15.75,18.99,467.86,0
COLHEITADEIRA-II,1.22,12.78,24.25,11.08,646.62,0
TRATOR-II,76.33,68.33,25.66,13.4,830.03,0
TRATOR-II,109.59,79.25,34.84,23.97,49.27,1
PULVERIZADOR-I,73.51,72.49,10.06,23.63,852.44,0
PULVERIZADOR-I,104.84,100.0,18.84,21.72,548.4,1
TRATOR-II,86.88,81.98,18.67,10.29,197.31,1
PULVERIZADOR-I,14.47,20.98,14.2,14.91,317.26,0
COLHEITADEIRA-I,108.29,85.62,5.92,19.42,281.93,0
TRATOR-II,7.97,31.3,34.21,14.13,530.86,1
PULVERIZADOR-I,64.08,60.54,29.87,23.64,51.69,1
TRATOR-II,17.06,45.24,17.44,19.51,158.54,0
COLHEITADEIRA-II,1.4,35.28,21.11,11.08,812.69,0
TRATOR-I,50.64,58.74,7.95,23.64,132.6,0
TRATOR-II,35.4,42.45,19.03,24.37,233.4,0
TRATOR-I,58.32,52.65,24.32,11.17,453.37,1
PULVERIZADOR-I,69.26,54.73,18.03,17.99,517.12,0
TRATOR-I,5.25,23.8,34.66,14.55,763.61,0
TRATOR-II,14.76,31.25,21.4,15.89,447.33,0
COLHEITADEIRA-II,67.04,70.5,12.98,12.69,789.86,0
PULVERIZADOR-I,41.18,54.45,27.03,18.67,618.35,0
TRATOR-II,87.5,64.6,5.97,24.37,113.1,0
PULVERIZADOR-I,78.27,68.82,13.46,17.55,156.33,0
COLHEITADEIRA-I,101.47,76.34,12.14,11.24,437.03,0
TRATOR-I,83.1,64.56,15.11,19.3,396.89,0
COLHEITADEIRA-I,51.59,65.77,27.36,15.1,743.54,0
TRATOR-II,80.76,59.71,16.95,22.84,580.74,0
COLHEITADEIRA-II,33.05,42.4,27.79,16.52,388.13,0
PULVERIZADOR-I,36.76,37.1,20.18,12.89,170.76,0
TRATOR-I,94.68,93.19,11.97,12.87,226.84,0
PULVERIZADOR-I,53.57,58.85,28.35,21.53,575.5,0
TRATOR-II,95.81,74.42,8.34,13.98,423.44,0
PULVERIZADOR-I,98.69,84.29,7.85,21.51,514.93,0
TRATOR-I,102.91,93.69,17.66,13.09,170.68,1
TRATOR-II,110.0,100.0,9.13,14.83,662.91,0
PULVERIZADOR-I,51.72,47.64,0.32,16.98,852.54,0
COLHEITADEIRA-II,38.26,59.54,22.69,24.15,257.94,0
TRATOR-II,69.86,79.95,17.89,23.98,491.51,0
TRATOR-II,44.54,64.22,15.59,13.1,975.53,0
COLHEITADEIRA-II,72.13,72.34,33.84,15.37,333.24,1
COLHEITADEIRA-I,84.67,79.7,19.99,12.24,595.05,0
TRATOR-I,82.61,71.66,30.22,17.65,90.2,1
COLHEITADEIRA-I,44.95,59.54,4.88,16.91,606.02,0
PULVERIZADOR-I,20.02,37.95,19.92,23.51,89.63,1
COLHEITADEIRA-II,51.66,61.32,30.38,23.95,959.24,1
COLHEITADEIRA-I,17.11,33.12,20.41,15.75,715.66,0
TRATOR-II,106.81,96.03,25.13,17.38,788.16,1
PULVERIZADOR-I,41.51,59.64,13.02,23.44,704.1,0
PULVERIZADOR-I,18.54,25.51,3.24,22.1,589.73,0
COLHEITADEIRA-I,3.05,36.82,16.03,10.05,449.91,0
COLHEITADEIRA-I,77.5,72.71,13.81,14.8,858.37,0
COLHEITADEIRA-II,76.43,81.2,30.35,16.33,956.84,1
TRATOR-I,40.87,47.46,8.54,13.45,499.04,0
COLHEITADEIRA-I,8.61,26.53,33.84,12.99,931.54,0
COLHEITADEIRA-I,49.16,66.95,33.53,10.57,583.33,1
TRATOR-II,37.35,39.94,8.67,19.65,538.38,0
PULVERIZADOR-I,81.25,84.08,12.18,13.94,454.48,0
TRATOR-I,72.69,68.14,31.34,10.79,209.29,1
TRATOR-II,43.75,51.67,33.83,13.46,3.72,1
COLHEITADEIRA-II,26.15,34.94,15.52,22.03,241.51,0
COLHEITADEIRA-II,118.56,98.33,11.23,22.77,509.72,0
COLHEITADEIRA-I,54.48,52.44,18.41,17.25,379.96,0
COLHEITADEIRA-I,82.59,60.73,24.07,16.24,448.49,0
COLHEITADEIRA-II,16.87,28.28,9.57,24.67,980.65,0
COLHEITADEIRA-I,58.27,45.15,25.78,13.01,350.27,0
TRATOR-I,3.3,41.33,1.81,13.23,452.18,0
COLHEITADEIRA-I,60.65,75.37,1.73,14.38,133.52,0
PULVERIZADOR-I,115.68,91.26,13.52,12.59,47.96,1
COLHEITADEIRA-I,46.1,59.51,12.37,15.69,775.41,0
TRATOR-II,4.68,23.18,11.05,23.66,570.68,0
TRATOR-I,3.71,32.36,17.19,19.23,760.7,0
TRATOR-II,46.56,62.1,11.23,16.18,149.86,0
TRATOR-II,19.2,49.92,6.73,24.02,571.83,0
PULVERIZADOR-I,2.8,23.69,10.83,10.73,253.64,0
TRATOR-I,90.75,87.95,34.12,13.15,228.06,1
TRATOR-I,55.02,50.99,14.39,18.49,11.53,1
TRATOR-I,34.71,60.54,15.56,19.23,130.34,0
TRATOR-I,108.01,75.58,20.18,10.59,309.27,1
TRATOR-I,13.94,36.47,34.42,16.05,116.88,1
PULVERIZADOR-I,114.71,98.61,8.46,19.74,985.86,0
COLHEITADEIRA-I,37.68,53.25,23.84,20.47,308.63,0
TRATOR-II,106.61,77.58,25.06,19.57,130.32,1
TRATOR-I,72.35,81.57,21.26,14.81,199.08,1
COLHEITADEIRA-I,99.2,74.96,3.1,11.4,587.7,0
COLHEITADEIRA-I,118.08,99.53,23.69,16.41,64.04,1
TRATOR-II,34.61,37.45,2.24,11.93,862.43,0
PULVERIZADOR-I,115.34,88.42,20.86,24.21,961.5,0
COLHEITADEIRA-II,46.74,54.44,25.89,17.13,246.75,0
COLHEITADEIRA-II,46.26,50.27,7.38,14.76,450.1,0
COLHEITADEIRA-I,40.85,39.31,29.46,21.49,22.13,1
TRATOR-II,64.97,54.11,1.06,17.47,640.71,0
COLHEITADEIRA-II,18.5,33.64,29.53,14.65,413.93,1
COLHEITADEIRA-I,66.45,72.59,16.11,22.18,270.06,0
PULVERIZADOR-I,65.0,75.94,7.62,23.01,206.84,0
COLHEITADEIRA-II,91.43,67.38,4.68,20.1,654.02,0
COLHEITADEIRA-I,100.04,81.82,33.37,10.7,416.22,1
COLHEITADEIRA-I,52.85,44.72,2.54,18.49,179.66,0
TRATOR-I,36.28,32.27,6.97,21.45,689.11,0
PULVERIZADOR-I,31.12,48.52,12.17,12.05,565.07,0
TRATOR-I,23.35,42.09,21.71,13.43,858.67,0
TRATOR-II,6.92,19.04,19.07,23.24,117.48,0
TRATOR-I,41.09,41.67,4.4,10.3,785.67,0
TRATOR-I,32.43,30.17,10.14,21.29,673.52,0
COLHEITADEIRA-II,115.97,100.0,8.36,17.11,115.01,0
COLHEITADEIRA-I,66.93,79.4,7.47,16.7,694.82,0
PULVERIZADOR-I,41.67,39.07,14.39,10.11,441.55,0
TRATOR-I,69.66,58.74,24.64,22.29,944.98,0
PULVERIZADOR-I,16.7,46.07,7.61,15.4,141.61,0
TRATOR-I,53.29,69.77,12.83,18.11,642.83,0
